                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.8277,                 9.2517,                      0,                 12.613,                 6.0216,                0.00664,                0.27772,                0.00931,                0.00387,                0.00704,                0.29471,                0.00865,                0.00615,                 4.3568,                     24,                      0,                 188.05,                 5.2345,             0.00066298,             0.00066298,             0.00066298
                      2,                 2.5282,                 1.3129,                      0,                 2.3038,                 3.1539,                0.82767,                0.82717,                0.90467,                0.55268,                0.83417,                0.83716,                0.91897,                0.87017,                 2.9251,                     24,                      0,                 1.4084,                 3.9331,              0.0013165,              0.0013165,              0.0013165
                      3,                  2.073,                0.84271,                      0,                 1.3709,                 2.6558,                 0.8022,                0.81818,                0.88691,                0.41358,                0.80661,                 0.8625,                0.91747,                0.83997,                 3.6753,                     24,                      0,                 1.5328,                  4.757,              0.0019568,              0.0019568,              0.0019568
                      4,                 1.8939,                0.69129,                      0,                 1.1037,                 2.4291,                0.89422,                0.86014,                0.94401,                0.49917,                0.89836,                0.87417,                0.95795,                0.92221,                  3.219,                     24,                      0,                 1.3952,                 4.2568,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.7401,                0.54579,                      0,                 0.9938,                 2.2679,                0.88827,                 0.8816,                0.94893,                0.49538,                0.89316,                0.89358,                0.95939,                0.92699,                 3.3993,                     24,                      0,                 1.2486,                 4.2525,              0.0019208,              0.0019208,              0.0019208
                      6,                  1.647,                 0.4846,                      0,                0.89644,                 2.1966,                0.90729,                0.88811,                0.95734,                0.54612,                0.91444,                 0.8951,                0.96635,                0.93511,                  2.977,                     24,                      0,                 1.1966,                  3.859,               0.001901,               0.001901,               0.001901
                      7,                 1.5702,                0.40712,                      0,                0.83696,                 2.1315,                0.91122,                0.90231,                0.96435,                0.60684,                0.91529,                0.90666,                0.97162,                0.93785,                 2.6819,                     24,                      0,                 1.0771,                 3.5339,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.5264,                0.37207,                      0,                0.78822,                 2.0976,                0.91833,                0.90983,                0.96811,                0.57829,                0.92235,                0.91375,                0.97594,                0.94818,                 3.0519,                     24,                      0,                 1.1577,                 4.0126,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.4817,                 0.3304,                      0,                0.77025,                 2.0707,                0.91379,                0.94242,                0.97298,                0.57071,                0.91484,                0.94605,                0.97487,                 0.9493,                  3.029,                     24,                      0,                  1.124,                 3.9224,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.4484,                 0.3008,                      0,                0.72354,                 2.0448,                0.88028,                 0.9001,                0.95418,                0.60997,                0.88123,                0.90425,                0.95962,                0.93506,                 2.6436,                     24,                      0,                 1.0603,                 3.5466,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.4301,                0.30274,                      0,                0.70963,                 2.0334,                 0.9394,                0.93407,                0.98064,                0.63598,                0.94342,                0.93806,                0.98429,                0.95737,                 2.5747,                     24,                      0,                0.94381,                 3.5074,               0.001802,               0.001802,               0.001802
                     12,                 1.3966,                0.30071,                      0,                0.68979,                 2.0232,                0.91948,                0.90122,                0.96627,                0.62359,                0.92421,                 0.9011,                0.97522,                0.95115,                 2.7358,                     24,                      0,                 1.0063,                 3.5749,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.3774,                0.26765,                      0,                0.66961,                 2.0026,                0.94498,                0.89223,                0.96698,                0.62673,                0.94604,                0.89323,                0.96993,                0.94503,                 2.6491,                     24,                      0,                0.99347,                 3.4454,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.3478,                0.25466,                      0,                0.65417,                 1.9987,                0.93066,                0.92208,                0.97909,                0.69628,                0.93063,                0.92467,                0.98232,                0.95914,                 2.3065,                     24,                      0,                0.88157,                 3.0756,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.3238,                0.23453,                      0,                0.63565,                 1.9642,                0.92618,                0.91497,                0.97137,                0.68576,                0.92817,                0.91656,                0.97558,                0.95379,                 2.2916,                     24,                      0,                0.93986,                   3.12,              0.0017228,              0.0017228,              0.0017228
                     16,                  1.334,                0.24858,                      0,                0.64992,                 1.9838,                0.93247,                0.91038,                0.97293,                0.69291,                0.93451,                0.91238,                0.97833,                0.95808,                 2.3069,                     24,                      0,                0.91901,                 3.1714,               0.001703,               0.001703,               0.001703
                     17,                 1.2993,                0.23686,                      0,                0.60913,                 1.9642,                0.94068,                0.90293,                0.97292,                0.68068,                0.94172,                0.90393,                0.97698,                0.96141,                 2.4038,                     24,                      0,                0.90431,                 3.2451,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.2729,                0.20615,                      0,                0.58972,                 1.9484,                0.94714,                0.93084,                0.98413,                0.72509,                0.94816,                0.93184,                0.98502,                0.96864,                 2.1423,                     24,                      0,                0.81555,                 2.9551,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.3013,                0.23119,                      0,                0.61203,                 1.9724,                0.91188,                0.95104,                0.98175,                0.71527,                0.91473,                0.95374,                0.98283,                0.96647,                 2.1451,                     24,                      0,                0.85364,                 3.0119,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.2608,                0.19328,                      0,                0.59224,                 1.9381,                0.94465,                0.93906,                0.98193,                0.72029,                0.94626,                0.94206,                0.98406,                0.96441,                  2.127,                     24,                      0,                0.83269,                 2.8965,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.2681,                0.22669,                      0,                0.58906,                 1.9502,                0.94543,                0.92408,                0.97711,                0.72652,                0.94598,                0.92711,                0.98311,                0.96165,                 2.1057,                     24,                      0,                0.82956,                 2.9326,               0.001604,               0.001604,               0.001604
                     22,                 1.2553,                0.20724,                      0,                0.57709,                 1.9396,                0.96559,                0.89708,                0.97772,                0.71531,                0.94285,                0.91908,                0.98113,                 0.9608,                  2.057,                     24,                      0,                 0.8226,                 2.8433,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.2493,                0.20608,                      0,                0.56608,                  1.938,                0.96803,                0.91808,                0.98154,                0.72412,                0.96909,                0.91908,                0.98393,                0.96833,                 2.1135,                     24,                      0,                0.81477,                 2.9169,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.2353,                0.20225,                      0,                0.55773,                 1.9311,                0.92362,                0.95437,                0.98252,                0.74151,                0.92654,                0.95767,                0.98489,                0.96874,                 1.9592,                     24,                      0,                0.76334,                 2.7879,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.2381,                0.19502,                      0,                0.56004,                 1.9398,                0.93835,                 0.9041,                0.97025,                0.72547,                0.93938,                0.90509,                0.97223,                0.95752,                 1.9927,                     24,                      0,                0.89674,                  2.801,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.2149,                0.17698,                      0,                0.55463,                  1.926,                 0.9416,                0.91508,                0.97162,                0.75127,                0.94366,                0.91708,                0.97665,                0.95999,                 1.9253,                     24,                      0,                0.85765,                  2.729,               0.001505,               0.001505,               0.001505
                     27,                 1.2153,                0.17782,                      0,                0.54311,                 1.9236,                0.96141,                0.92807,                0.98394,                0.76296,                0.96039,                0.93506,                 0.9865,                0.96466,                 1.8485,                     24,                      0,                0.73079,                 2.7409,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.1939,                0.16846,                      0,                0.53988,                 1.9041,                 0.9565,                0.94406,                 0.9879,                0.74033,                0.95751,                0.94505,                0.98845,                0.97363,                 1.9907,                     24,                      0,                 0.7448,                 2.8167,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.1975,                0.17845,                      0,                0.54513,                 1.9081,                 0.9441,                0.96204,                0.98495,                0.71722,                0.94508,                0.96304,                0.98892,                0.97286,                 2.1568,                     24,                      0,                0.80509,                  2.924,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.1791,                0.17715,                      0,                0.52713,                 1.9011,                0.95653,                0.92331,                0.98189,                0.75038,                 0.9586,                 0.9253,                 0.9847,                0.96889,                 1.9346,                     24,                      0,                0.77407,                 2.7672,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.1785,                0.17547,                      0,                 0.5306,                 1.9059,                 0.9436,                0.93603,                0.97815,                0.76667,                0.94301,                0.94218,                0.98426,                 0.9606,                 1.7635,                     24,                      0,                0.75789,                 2.6231,               0.001406,               0.001406,               0.001406
                     32,                 1.1825,                0.16293,                      0,                0.52785,                 1.9079,                0.95697,                0.94505,                0.98675,                0.76661,                0.95899,                0.94705,                0.98901,                0.97073,                  1.876,                     24,                      0,                0.69167,                 2.7123,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.1662,                0.14733,                      0,                0.51546,                 1.8929,                0.96705,                0.93822,                0.98426,                0.75062,                0.96808,                0.93922,                0.98657,                0.97196,                 1.9283,                     24,                      0,                0.74567,                 2.7817,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.1649,                0.15934,                      0,                0.51473,                 1.8937,                0.94207,                0.95857,                0.98483,                 0.7829,                0.94306,                0.95957,                0.98821,                0.97316,                 1.7859,                     24,                      0,                0.70283,                 2.6605,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.1601,                0.14462,                      0,                0.50959,                 1.8886,                0.96052,                0.94206,                0.98484,                0.79123,                0.96154,                0.94306,                 0.9878,                0.97279,                 1.6979,                     24,                      0,                0.71181,                 2.5757,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.1404,                0.14926,                      0,                0.50145,                 1.8824,                0.95152,                0.91109,                0.96924,                0.78869,                0.95465,                0.91409,                0.97874,                 0.9576,                 1.6699,                     24,                      0,                0.79964,                 2.5416,               0.001307,               0.001307,               0.001307
                     37,                 1.1488,                0.15285,                      0,                0.50305,                 1.8899,                0.97384,                0.93806,                0.98642,                0.78606,                0.97488,                0.93906,                0.98903,                0.97531,                 1.7721,                     24,                      0,                 0.6996,                 2.6327,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.1375,                0.15737,                      0,                0.50313,                 1.8874,                0.96146,                0.94505,                0.98475,                0.79656,                0.96248,                0.94605,                0.98756,                0.97278,                 1.6556,                     24,                      0,                 0.7013,                 2.5415,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.1374,                0.13077,                      0,                0.48541,                 1.8787,                0.97012,                0.94056,                0.98471,                0.78899,                0.97115,                0.94156,                0.98691,                0.97485,                 1.7375,                     24,                      0,                0.68685,                 2.6086,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.1412,                0.15222,                      0,                0.49432,                 1.8721,                 0.9574,                0.94306,                0.98002,                0.77975,                 0.9583,                0.95405,                0.98756,                0.96918,                 1.7125,                     24,                      0,                0.69607,                 2.5775,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.1337,                0.14257,                      0,                0.48966,                 1.8779,                0.97208,                0.93906,                0.98048,                0.79536,                0.97415,                0.94106,                0.98778,                0.97147,                 1.7122,                     24,                      0,                0.71388,                 2.5425,               0.001208,               0.001208,               0.001208
